user,reaction_speed(in_ms),type_of_activation
User2,565,sound
User2,362,shock
User3,335,shock
User2,210,shock
User1,633,light
User5,658,sound
User5,839,shock
User4,371,sound
User3,765,sound
User3,24,sound
User2,220,shock
User3,928,light
User5,515,light
User1,28,light
User4,519,light
User2,667,sound
User4,226,light
User1,521,shock
User1,152,sound
User2,289,sound
User2,218,sound
User4,992,shock
User5,340,sound
User5,463,light
User5,826,sound
User4,529,sound
User1,572,sound
User5,170,light
User1,286,shock
User5,565,light
User1,675,sound
User5,120,shock
User3,489,sound
User5,978,light
User1,773,shock
User5,440,light
User1,125,light
User2,257,light
User2,380,shock
User4,71,sound
User5,350,light
User3,287,shock
User1,64,sound
User2,609,shock
User5,152,shock
User2,129,sound
User1,494,light
User5,804,shock
User2,696,shock
User4,615,sound
User3,193,light
User1,543,light
User3,746,light
User1,685,light
User3,847,light
User3,407,sound
User4,591,light
User4,344,light
User4,457,sound
User3,273,sound
User4,319,light
User4,520,light
User1,743,light
User5,640,light
User4,354,shock
User4,28,light
User1,673,shock
User1,798,shock
User3,897,light
User5,336,shock
User4,382,shock
User3,957,sound
User1,358,shock
User4,907,sound
User4,167,sound
User4,796,sound
User3,119,light
User2,301,shock
User1,45,sound
User1,708,light
User5,708,light
User2,671,shock
User4,226,light
User5,2,sound
User2,943,sound
User1,620,light
User4,862,light
User1,325,light
User3,874,light
User3,876,light
User3,71,shock
User4,998,shock
User5,512,sound
User5,889,light
User2,469,light
User5,61,sound
User3,307,light
User5,490,light
User1,624,shock
User2,701,light
User2,684,light
User2,333,sound
User5,278,sound
User1,749,light
User1,549,shock
User4,568,shock
User1,571,sound
User3,62,light
User2,709,light
User1,466,light
User3,362,shock
User1,549,sound
User3,52,sound
User5,427,light
User3,231,light
User3,531,shock
User3,486,shock
User3,755,light
User4,971,sound
User5,279,sound
User3,321,sound
User4,988,light
User3,739,sound
User4,939,shock
User4,691,light
User1,977,shock
User5,235,sound
User3,941,light
User2,274,sound
User4,861,sound
User4,534,light
User1,558,sound
User4,444,shock
User4,605,shock
User5,56,sound
User4,855,shock
User3,185,shock
User2,792,light
User2,876,sound
User2,11,shock
User4,660,shock
User2,836,sound
User4,965,shock
User3,236,light
User5,439,sound
User1,535,light
User2,497,sound
User1,459,sound
User3,477,sound
User5,782,sound
User1,325,light
User4,864,sound
User3,751,shock
User2,384,shock
User2,184,light
User2,350,light
User5,730,shock
User2,859,sound
User1,1,sound
User5,203,sound
User4,682,shock
User4,785,shock
User1,692,sound
User1,269,sound
User1,797,shock
User3,797,sound
User1,288,sound
User3,645,light
User5,139,shock
User5,81,light
User4,319,shock
User1,464,shock
User4,793,sound
User1,912,light
User1,806,light
User2,721,shock
User1,447,shock
User1,471,light
User4,157,sound
User3,472,shock
User5,714,light
User1,287,sound
User5,346,sound
User1,205,shock
User4,797,light
User2,244,light
User1,475,sound
User3,939,sound
User3,140,shock
User3,808,shock
User4,592,shock
User3,474,light
User4,627,sound
User4,88,shock
User3,756,light
User1,774,shock
User1,865,sound
User1,489,sound
User2,629,sound
User3,745,light
User5,216,shock
User2,518,sound
User4,868,sound
User2,231,light
User2,426,shock
User2,812,shock
User1,43,light
User4,438,light
User1,319,shock
User2,817,sound
User3,365,light
User3,233,sound
User3,274,shock
User2,425,sound
User5,6,sound
User3,40,light
User2,579,sound
User1,385,sound
User2,284,shock
User5,835,sound
User4,847,light
User3,516,light
User5,23,light
User4,485,shock
User4,360,shock
User5,473,sound
User2,28,sound
User5,431,sound
User2,535,light
User3,810,sound
User1,940,shock
User3,273,sound
User3,633,light
User3,593,light
User2,687,light
User4,777,shock
User1,715,sound
User5,320,light
User4,730,sound
User3,776,sound
User1,782,shock
User3,712,light
User4,950,shock
User2,543,sound
User5,882,light
User3,296,light
User5,91,sound
User5,402,sound
User3,20,shock
User5,780,light
User1,2,shock
User5,361,light
User5,721,shock
User3,531,shock
User5,562,light
User3,464,light
User1,1000,light
User3,973,sound
User2,383,shock
User5,577,light
User5,987,shock
User2,673,light
User4,547,sound
User1,623,sound
User5,854,shock
User4,140,light
User4,705,sound
User2,583,shock
User2,487,sound
User3,246,sound
User3,621,light
User2,375,sound
User4,519,light
User2,435,light
User1,333,light
User4,424,shock
User4,854,light
User5,529,light
User1,157,light
User2,761,sound
User5,928,light
User2,162,sound
User4,789,sound
User5,633,sound
User3,568,light
User2,438,light
User3,124,light
User2,278,light
User4,997,sound
User2,671,shock
User1,198,sound
User4,436,sound
User3,774,light
User2,898,sound
User5,654,shock
User4,553,light
User2,443,light
User1,773,shock
User1,926,light
User2,628,light
User4,710,light
User2,338,light
User1,739,shock
User3,192,light
User2,677,light
User3,296,light
User5,124,shock
User3,842,shock
User4,763,light
User4,841,shock
User3,848,shock
User4,828,sound
User3,889,shock
User1,779,shock
User5,195,light
User3,794,sound
User5,947,shock
User3,327,light
User3,372,light
User3,416,shock
User5,494,light
User1,598,light
User1,423,sound
User1,185,sound
User1,105,light
User5,924,light
User2,953,shock
User4,15,shock
User2,563,sound
User2,113,sound
User2,360,shock
User5,710,light
User1,49,light
User5,546,light
User5,317,shock
User5,344,shock
User3,264,shock
User3,290,light
User4,295,shock
User3,107,light
User2,144,sound
User3,361,light
User5,321,sound
User2,874,sound
User4,67,sound
User4,402,sound
User3,762,shock
User2,45,shock
User4,459,shock
User5,520,shock
User5,495,light
User4,662,sound
User2,871,shock
User1,331,light
User5,981,sound
User1,227,light
User2,453,shock
User2,826,sound
User1,979,sound
User5,709,sound
User3,641,light
User2,978,sound
User4,264,shock
User2,533,light
User1,109,light
User2,267,light
User3,2,sound
User5,515,light
User1,17,shock
User2,249,shock
User2,768,shock
User2,564,light
User3,51,sound
User5,186,light
User1,747,sound
User4,160,light
User4,318,sound
User1,777,sound
User3,289,sound
User1,852,shock
User1,642,light
User3,29,light
User3,346,sound
User5,775,shock
User3,535,light
User4,658,light
User5,315,sound
User2,878,sound
User2,672,light
User1,550,sound
User3,837,light
User5,164,sound
User1,66,sound
User5,732,light
User2,486,shock
User1,66,light
User3,935,sound
User1,487,light
User2,5,sound
User4,913,shock
User3,59,shock
User2,740,sound
User2,915,light
User3,735,light
User4,41,shock
User5,377,shock
User3,411,shock
User3,511,shock
User2,191,shock
User4,197,light
User3,866,sound
User5,57,sound
User2,185,shock
User4,859,sound
User1,549,shock
User3,95,shock
User4,392,light
User1,787,sound
User4,143,light
User5,707,sound
User1,345,light
User1,461,light
User1,431,light
User5,939,shock
User2,846,light
User1,628,sound
User3,992,shock
User4,671,sound
User5,90,light
User5,21,shock
User1,643,sound
User3,958,sound
User3,416,light
User1,310,sound
User4,205,light
User3,871,sound
User1,842,light
User3,809,shock
User2,540,light
User5,98,light
User1,413,sound
User5,223,shock
User4,223,sound
User4,281,sound
User5,169,sound
User3,980,shock
User5,624,sound
User3,325,light
User4,698,light
User2,160,shock
User1,74,light
User2,553,sound
User2,605,shock
User3,232,light
User5,578,light
User4,392,light
User5,610,light
User1,59,shock
User3,942,sound
User2,774,shock
User4,772,light
User1,27,sound
User2,774,sound
User2,406,sound
User1,217,sound
User5,278,sound
User5,373,sound
User4,32,sound
User5,847,shock
User2,147,light
User1,143,shock
User4,983,light
User4,430,light
User2,747,sound
User5,356,shock
User1,302,shock
User2,321,sound
User4,734,light
User4,831,light
User1,556,sound
User3,548,light
User3,496,shock
User4,876,sound
User5,639,sound
User4,468,light
User5,280,light
User3,819,light
User1,448,light
User4,284,light
User1,662,light
User5,664,light
User1,326,sound
User1,104,shock
User5,740,light
User1,659,light
User1,763,light
User2,445,light
User2,923,shock
User1,183,light
User1,388,light
User5,929,light
User1,391,sound
User5,72,light
User5,56,sound
User5,316,light
User5,152,shock
User1,809,shock
User3,308,shock
User5,605,light
User3,703,light
User4,690,sound
User1,552,light
User2,633,shock
User2,122,sound
User5,828,shock
User2,310,light
User4,268,sound
User1,527,sound
User4,689,shock
User1,752,shock
User4,139,sound
User1,232,sound
User4,73,sound
User2,283,shock
User4,312,shock
User1,764,shock
User3,11,sound
User4,794,light
User5,191,sound
User1,280,light
User5,559,light
User3,693,light
User4,874,shock
User3,668,light
User1,698,light
User4,556,shock
User5,684,sound
User4,279,sound
User2,14,sound
User1,987,light
User2,82,shock
User2,257,sound
User5,147,sound
User5,280,shock
User4,235,light
User2,896,sound
User1,821,light
User3,811,shock
User1,869,sound
User3,365,sound
